"",BBSSY.D.REN.EUR.A615.000000WT1515.A,BBSSY.D.REN.EUR.A615.000000WT1515.A_FLAGS
"",Daily yield of the current 15 year federal bond,
Comment,ISIN DE000BU2F009 seit dem 10. April 2024,
Decimals,2,
Time format code,P1D,
category,ZRWR,
unit,PROZENT,
unit multiplier,One,
last update,2025-12-05 12:33:33,
2025-01-14,2.85,
2025-01-15,2.86,
2025-01-16,2.81,
2025-01-17,2.76,
2025-01-18,.,No value available
2025-01-19,.,No value available
2025-01-20,2.77,
2025-01-21,2.74,
2025-01-22,2.74,
2025-01-23,2.77,
2025-01-24,2.80,
2025-01-25,.,No value available
2025-01-26,.,No value available
2025-01-27,2.75,
2025-01-28,2.78,
2025-01-29,2.77,
2025-01-30,2.76,
2025-01-31,2.73,
2025-02-01,.,No value available
2025-02-02,.,No value available
2025-02-03,2.65,
2025-02-04,2.67,
2025-02-05,2.60,
2025-02-06,2.61,
2025-02-07,2.60,
2025-02-08,.,No value available
2025-02-09,.,No value available
2025-02-10,2.62,
2025-02-11,2.65,
2025-02-12,2.70,
2025-02-13,2.70,
2025-02-14,2.66,
2025-02-15,.,No value available
2025-02-16,.,No value available
2025-02-17,2.74,
2025-02-18,2.75,
2025-02-19,2.76,
2025-02-20,2.79,
2025-02-21,2.73,
2025-02-22,.,No value available
2025-02-23,.,No value available
2025-02-24,2.70,
2025-02-25,2.71,
2025-02-26,2.68,
2025-02-27,2.69,
2025-02-28,2.64,
2025-03-01,.,No value available
2025-03-02,.,No value available
2025-03-03,2.73,
2025-03-04,2.74,
2025-03-05,2.96,
2025-03-06,3.10,
2025-03-07,3.07,
2025-03-08,.,No value available
2025-03-09,.,No value available
2025-03-10,3.06,
2025-03-11,3.13,
2025-03-12,3.17,
2025-03-13,3.17,
2025-03-14,3.16,
2025-03-15,.,No value available
2025-03-16,.,No value available
2025-03-17,3.09,
2025-03-18,3.12,
2025-03-19,3.05,
2025-03-20,3.04,
2025-03-21,3.04,
2025-03-22,.,No value available
2025-03-23,.,No value available
2025-03-24,3.07,
2025-03-25,3.11,
2025-03-26,3.08,
2025-03-27,3.09,
2025-03-28,3.02,
2025-03-29,.,No value available
2025-03-30,.,No value available
2025-03-31,2.99,
2025-04-01,2.97,
2025-04-02,2.97,
2025-04-03,2.96,
2025-04-04,2.84,
2025-04-05,.,No value available
2025-04-06,.,No value available
2025-04-07,2.77,
2025-04-08,2.93,
2025-04-09,2.93,
2025-04-10,2.95,
2025-04-11,2.86,
2025-04-12,.,No value available
2025-04-13,.,No value available
2025-04-14,2.85,
2025-04-15,2.82,
2025-04-16,2.82,
2025-04-17,2.85,
2025-04-18,.,No value available
2025-04-19,.,No value available
2025-04-20,.,No value available
2025-04-21,.,No value available
2025-04-22,2.79,
2025-04-23,2.80,
2025-04-24,2.79,
2025-04-25,2.81,
2025-04-26,.,No value available
2025-04-27,.,No value available
2025-04-28,2.84,
2025-04-29,2.83,
2025-04-30,2.80,
2025-05-01,.,No value available
2025-05-02,2.80,
2025-05-03,.,No value available
2025-05-04,.,No value available
2025-05-05,2.86,
2025-05-06,2.89,
2025-05-07,2.87,
2025-05-08,2.86,
2025-05-09,2.94,
2025-05-10,.,No value available
2025-05-11,.,No value available
2025-05-12,2.97,
2025-05-13,3.03,
2025-05-14,3.03,
2025-05-15,3.02,
2025-05-16,2.91,
2025-05-17,.,No value available
2025-05-18,.,No value available
2025-05-19,3.00,
2025-05-20,2.91,
2025-05-21,3.02,
2025-05-22,3.01,
2025-05-23,2.99,
2025-05-24,.,No value available
2025-05-25,.,No value available
2025-05-26,2.97,
2025-05-27,2.89,
2025-05-28,2.91,
2025-05-29,2.91,
2025-05-30,2.88,
2025-05-31,.,No value available
2025-06-01,.,No value available
2025-06-02,2.90,
2025-06-03,2.85,
2025-06-04,2.88,
2025-06-05,2.83,
2025-06-06,2.87,
2025-06-07,.,No value available
2025-06-08,.,No value available
2025-06-09,2.86,
2025-06-10,2.87,
2025-06-11,2.89,
2025-06-12,2.84,
2025-06-13,2.82,
2025-06-14,.,No value available
2025-06-15,.,No value available
2025-06-16,2.90,
2025-06-17,2.88,
2025-06-18,2.88,
2025-06-19,2.85,
2025-06-20,2.85,
2025-06-21,.,No value available
2025-06-22,.,No value available
2025-06-23,2.88,
2025-06-24,2.90,
2025-06-25,2.88,
2025-06-26,2.90,
2025-06-27,2.92,
2025-06-28,.,No value available
2025-06-29,.,No value available
2025-06-30,2.92,
2025-07-01,2.90,
2025-07-02,2.94,
2025-07-03,2.94,
2025-07-04,2.90,
2025-07-05,.,No value available
2025-07-06,.,No value available
2025-07-07,2.94,
2025-07-08,3.02,
2025-07-09,3.00,
2025-07-10,3.01,
2025-07-11,3.06,
2025-07-12,.,No value available
2025-07-13,.,No value available
2025-07-14,3.05,
2025-07-15,3.03,
2025-07-16,3.05,
2025-07-17,3.04,
2025-07-18,3.04,
2025-07-19,.,No value available
2025-07-20,.,No value available
2025-07-21,2.99,
2025-07-22,2.97,
2025-07-23,2.97,
2025-07-24,3.00,
2025-07-25,3.09,
2025-07-26,.,No value available
2025-07-27,.,No value available
2025-07-28,3.02,
2025-07-29,3.04,
2025-07-30,3.03,
2025-07-31,3.03,
2025-08-01,3.04,
2025-08-02,.,No value available
2025-08-03,.,No value available
2025-08-04,3.03,
2025-08-05,2.97,
2025-08-06,2.99,
2025-08-07,2.97,
2025-08-08,2.99,
2025-08-09,.,No value available
2025-08-10,.,No value available
2025-08-11,3.02,
2025-08-12,3.05,
2025-08-13,3.06,
2025-08-14,3.01,
2025-08-15,3.10,
2025-08-16,.,No value available
2025-08-17,.,No value available
2025-08-18,3.11,
2025-08-19,3.14,
2025-08-20,3.09,
2025-08-21,3.09,
2025-08-22,3.11,
2025-08-23,.,No value available
2025-08-24,.,No value available
2025-08-25,3.12,
2025-08-26,3.10,
2025-08-27,3.06,
2025-08-28,3.08,
2025-08-29,3.08,
2025-08-30,.,No value available
2025-08-31,.,No value available
2025-09-01,3.13,
2025-09-02,3.16,
2025-09-03,3.17,
2025-09-04,3.09,
2025-09-05,3.11,
2025-09-06,.,No value available
2025-09-07,.,No value available
2025-09-08,3.06,
2025-09-09,3.05,
2025-09-10,3.04,
2025-09-11,3.04,
2025-09-12,3.06,
2025-09-13,.,No value available
2025-09-14,.,No value available
2025-09-15,3.06,
2025-09-16,3.05,
2025-09-17,3.04,
2025-09-18,3.04,
2025-09-19,3.10,
2025-09-20,.,No value available
2025-09-21,.,No value available
2025-09-22,3.12,
2025-09-23,3.13,
2025-09-24,3.12,
2025-09-25,3.11,
2025-09-26,3.12,
2025-09-27,.,No value available
2025-09-28,.,No value available
2025-09-29,3.09,
2025-09-30,3.08,
2025-10-01,3.10,
2025-10-02,3.08,
2025-10-03,3.07,
2025-10-04,.,No value available
2025-10-05,.,No value available
2025-10-06,3.09,
2025-10-07,3.11,
2025-10-08,3.06,
2025-10-09,3.07,
2025-10-10,3.04,
2025-10-11,.,No value available
2025-10-12,.,No value available
2025-10-13,3.01,
2025-10-14,2.96,
2025-10-15,2.96,
2025-10-16,2.94,
2025-10-17,2.93,
2025-10-18,.,No value available
2025-10-19,.,No value available
2025-10-20,2.97,
2025-10-21,2.94,
2025-10-22,2.92,
2025-10-23,2.95,
2025-10-24,2.98,
2025-10-25,.,No value available
2025-10-26,.,No value available
2025-10-27,3.00,
2025-10-28,2.98,
2025-10-29,2.99,
2025-10-30,3.01,
2025-10-31,3.01,
2025-11-01,.,No value available
2025-11-02,.,No value available
2025-11-03,3.01,
2025-11-04,3.02,
2025-11-05,3.02,
2025-11-06,3.03,
2025-11-07,3.05,
2025-11-08,.,No value available
2025-11-09,.,No value available
2025-11-10,3.05,
2025-11-11,3.04,
2025-11-12,3.03,
2025-11-13,3.01,
2025-11-14,3.08,
2025-11-15,.,No value available
2025-11-16,.,No value available
2025-11-17,3.07,
2025-11-18,3.07,
2025-11-19,3.08,
2025-11-20,3.10,
2025-11-21,3.07,
2025-11-22,.,No value available
2025-11-23,.,No value available
2025-11-24,3.08,
2025-11-25,3.08,
2025-11-26,3.06,
2025-11-27,3.07,
2025-11-28,3.08,
2025-11-29,.,No value available
2025-11-30,.,No value available
2025-12-01,3.12,
2025-12-02,3.14,
2025-12-03,3.15,
2025-12-04,3.14,
2025-12-05,3.17,
