ID,Notebook,Equity,Bond,Allocation,Inflation,Tax,WR,Success_Rate,Median_Final,Mean_Final,P5_Final,P95_Final,Failed_Simulations,Failed_Pct,Median_Depletion,Mean_Depletion,Min_Depletion,Data_From,Data_To,N_Simulations,Block_Size_Months
0801,0801_block_notax_i_hicp_3_m_acwi_b_de_7030,MSCI ACWI,Bund,70/30,HICP_EU,No Tax,3.0,93.82,2000944,2690834,0,7690064,6179,6.2,27,25.9,13,2000-12-30,2025-10-31,100000,6
0802,0802_block_notax_i_hicp_3_m_acwi_b_de_8020,MSCI ACWI,Bund,80/20,HICP_EU,No Tax,3.0,92.03,2214597,3241232,0,9982805,7974,8.0,26,25.3,12,2000-12-30,2025-10-31,100000,6
0803,0803_block_notax_i_hicp_3_m_acwi_b_de_9010,MSCI ACWI,Bund,90/10,HICP_EU,No Tax,3.0,90.21,2407531,3880104,0,12786130,9786,9.8,25,24.5,11,2000-12-30,2025-10-31,100000,6
0804,0804_block_notax_i_hicp_3_m_acwi_b_de_1000,MSCI ACWI,-,100,HICP_EU,No Tax,3.0,88.32,2574408,4620704,0,16190648,11684,11.7,24,23.8,9,2000-12-30,2025-10-31,100000,6
0805,0805_block_notax_i_hicp_3_m_acwi_b_it_6040,MSCI ACWI,BTP,60/40,HICP_EU,No Tax,3.0,95.16,2116191,2765722,12900,7608829,4836,4.8,27,26.2,14,2000-12-30,2025-10-31,100000,6
0806,0806_block_notax_i_hicp_3_m_acwi_b_it_7030,MSCI ACWI,BTP,70/30,HICP_EU,No Tax,3.0,93.85,2282709,3161714,0,9261756,6150,6.2,26,25.7,13,2000-12-30,2025-10-31,100000,6
0807,0807_block_notax_i_hicp_3_m_acwi_b_it_8020,MSCI ACWI,BTP,80/20,HICP_EU,No Tax,3.0,92.14,2412975,3600276,0,11234598,7863,7.9,26,25.1,12,2000-12-30,2025-10-31,100000,6
0808,0808_block_notax_i_hicp_3_m_acwi_b_it_9010,MSCI ACWI,BTP,90/10,HICP_EU,No Tax,3.0,90.33,2511175,4085284,0,13555822,9668,9.7,25,24.5,11,2000-12-30,2025-10-31,100000,6
0809,0809_block_notax_i_hicp_3_m_acwi_b_deit_602020,MSCI ACWI,Bund+BTP,60/20/20,HICP_EU,No Tax,3.0,95.39,1951548,2485210,28748,6656851,4608,4.6,27,26.5,14,2000-12-30,2025-10-31,100000,6
0810,0810_block_notax_i_hicp_3_m_acwi_b_deit_701515,MSCI ACWI,Bund+BTP,70/15/15,HICP_EU,No Tax,3.0,93.92,2145976,2922148,0,8442423,6080,6.1,26,25.8,13,2000-12-30,2025-10-31,100000,6
0811,0811_block_notax_i_hicp_3_m_acwi_b_deit_801010,MSCI ACWI,Bund+BTP,80/10/10,HICP_EU,No Tax,3.0,92.15,2314580,3418633,0,10578459,7847,7.8,26,25.2,12,2000-12-30,2025-10-31,100000,6
0812,0812_block_notax_i_hicp_3_m_acwi_b_deit_900505,MSCI ACWI,Bund+BTP,90/5/5,HICP_EU,No Tax,3.0,90.29,2461915,3982077,0,13149509,9706,9.7,25,24.5,11,2000-12-30,2025-10-31,100000,6
0900,0900_block_notax_i_hicp_35_m_acwi_b_de_6040,MSCI ACWI,Bund,60/40,HICP_EU,No Tax,3.5,88.1,1298713,1749160,0,5126490,11899,11.9,27,26.0,13,2000-12-30,2025-10-31,100000,6
0901,0901_block_notax_i_hicp_35_m_acwi_b_de_7030,MSCI ACWI,Bund,70/30,HICP_EU,No Tax,3.5,86.76,1507410,2189406,0,6826135,13241,13.2,26,25.3,12,2000-12-30,2025-10-31,100000,6
0902,0902_block_notax_i_hicp_35_m_acwi_b_de_8020,MSCI ACWI,Bund,80/20,HICP_EU,No Tax,3.5,85.16,1701624,2703668,0,8976306,14840,14.8,25,24.6,10,2000-12-30,2025-10-31,100000,6
0903,0903_block_notax_i_hicp_35_m_acwi_b_de_9010,MSCI ACWI,Bund,90/10,HICP_EU,No Tax,3.5,83.38,1868426,3302990,0,11603453,16620,16.6,24,23.8,9,2000-12-30,2025-10-31,100000,6
0904,0904_block_notax_i_hicp_35_m_acwi_b_de_1000,MSCI ACWI,-,100,HICP_EU,No Tax,3.5,81.49,2012249,4000253,0,14845970,18509,18.5,24,23.2,8,2000-12-30,2025-10-31,100000,6
0905,0905_block_notax_i_hicp_35_m_acwi_b_it_6040,MSCI ACWI,BTP,60/40,HICP_EU,No Tax,3.5,88.8,1612472,2251544,0,6762739,11201,11.2,26,25.6,13,2000-12-30,2025-10-31,100000,6
0906,0906_block_notax_i_hicp_35_m_acwi_b_it_7030,MSCI ACWI,BTP,70/30,HICP_EU,No Tax,3.5,87.44,1760261,2622099,0,8295922,12556,12.6,26,25.0,12,2000-12-30,2025-10-31,100000,6
0907,0907_block_notax_i_hicp_35_m_acwi_b_it_8020,MSCI ACWI,BTP,80/20,HICP_EU,No Tax,3.5,85.71,1877876,3034610,0,10147768,14289,14.3,25,24.4,10,2000-12-30,2025-10-31,100000,6
0908,0908_block_notax_i_hicp_35_m_acwi_b_it_9010,MSCI ACWI,BTP,90/10,HICP_EU,No Tax,3.5,83.67,1959805,3492669,0,12337302,16327,16.3,24,23.8,9,2000-12-30,2025-10-31,100000,6
0909,0909_block_notax_i_hicp_35_m_acwi_b_deit_602020,MSCI ACWI,Bund+BTP,60/20/20,HICP_EU,No Tax,3.5,88.81,1464507,1993343,0,5863898,11191,11.2,26,25.8,13,2000-12-30,2025-10-31,100000,6
0910,0910_block_notax_i_hicp_35_m_acwi_b_deit_701515,MSCI ACWI,Bund+BTP,70/15/15,HICP_EU,No Tax,3.5,87.23,1638193,2401283,0,7532641,12766,12.8,26,25.2,12,2000-12-30,2025-10-31,100000,6
0911,0911_block_notax_i_hicp_35_m_acwi_b_deit_801010,MSCI ACWI,Bund+BTP,80/10/10,HICP_EU,No Tax,3.5,85.52,1790501,2866877,0,9544221,14478,14.5,25,24.5,10,2000-12-30,2025-10-31,100000,6
0912,0912_block_notax_i_hicp_35_m_acwi_b_deit_900505,MSCI ACWI,Bund+BTP,90/5/5,HICP_EU,No Tax,3.5,83.55,1915100,3397192,0,11949844,16454,16.5,24,23.8,9,2000-12-30,2025-10-31,100000,6
1000,1000_block_notax_i_hicp_3_m_europe_b_de_6040,MSCI Europe,Bund,60/40,HICP_EU,No Tax,3.0,90.13,1200484,1608994,0,4685340,9874,9.9,27,26.2,14,2000-12-30,2025-10-31,100000,6
1001,1001_block_notax_i_hicp_3_m_europe_b_de_7030,MSCI Europe,Bund,70/30,HICP_EU,No Tax,3.0,87.06,1262025,1874273,0,5949730,12940,12.9,26,25.5,12,2000-12-30,2025-10-31,100000,6
1002,1002_block_notax_i_hicp_3_m_europe_b_de_8020,MSCI Europe,Bund,80/20,HICP_EU,No Tax,3.0,83.77,1291488,2168847,0,7448409,16232,16.2,25,24.7,11,2000-12-30,2025-10-31,100000,6
1003,1003_block_notax_i_hicp_3_m_europe_b_de_9010,MSCI Europe,Bund,90/10,HICP_EU,No Tax,3.0,80.43,1285244,2494825,0,9192287,19567,19.6,24,23.9,10,2000-12-30,2025-10-31,100000,6
1004,1004_block_notax_i_hicp_3_m_europe_b_de_1000,MSCI Europe,-,100,HICP_EU,No Tax,3.0,77.16,1241261,2854528,0,11184802,22844,22.8,24,23.2,9,2000-12-30,2025-10-31,100000,6
1005,1005_block_notax_i_hicp_3_m_europe_b_it_6040,MSCI Europe,BTP,60/40,HICP_EU,No Tax,3.0,89.75,1434071,2037550,0,6182404,10248,10.2,26,25.7,13,2000-12-30,2025-10-31,100000,6
1006,1006_block_notax_i_hicp_3_m_europe_b_it_7030,MSCI Europe,BTP,70/30,HICP_EU,No Tax,3.0,87.1,1432562,2225983,0,7232771,12903,12.9,26,25.1,12,2000-12-30,2025-10-31,100000,6
1007,1007_block_notax_i_hicp_3_m_europe_b_it_8020,MSCI Europe,BTP,80/20,HICP_EU,No Tax,3.0,83.88,1401623,2424944,0,8441619,16119,16.1,25,24.5,11,2000-12-30,2025-10-31,100000,6
1008,1008_block_notax_i_hicp_3_m_europe_b_it_9010,MSCI Europe,BTP,90/10,HICP_EU,No Tax,3.0,80.52,1337104,2634496,0,9749228,19483,19.5,24,23.9,10,2000-12-30,2025-10-31,100000,6
1009,1009_block_notax_i_hicp_3_m_europe_b_deit_602020,MSCI Europe,Bund+BTP,60/20/20,HICP_EU,No Tax,3.0,90.2,1323981,1817843,0,5377665,9803,9.8,27,26.0,14,2000-12-30,2025-10-31,100000,6
1010,1010_block_notax_i_hicp_3_m_europe_b_deit_701515,MSCI Europe,Bund+BTP,70/15/15,HICP_EU,No Tax,3.0,87.21,1353111,2046739,0,6566216,12787,12.8,26,25.3,12,2000-12-30,2025-10-31,100000,6
1011,1011_block_notax_i_hicp_3_m_europe_b_deit_801010,MSCI Europe,Bund+BTP,80/10/10,HICP_EU,No Tax,3.0,83.9,1349410,2295241,0,7939016,16103,16.1,25,24.6,11,2000-12-30,2025-10-31,100000,6
1012,1012_block_notax_i_hicp_3_m_europe_b_deit_900505,MSCI Europe,Bund+BTP,90/5/5,HICP_EU,No Tax,3.0,80.5,1310955,2564204,0,9473091,19505,19.5,24,23.9,10,2000-12-30,2025-10-31,100000,6
1100,1100_block_notax_i_hicp_35_m_europe_b_de_6040,MSCI Europe,Bund,60/40,HICP_EU,No Tax,3.5,79.16,791309,1219263,0,4027399,20844,20.8,26,25.5,13,2000-12-30,2025-10-31,100000,6
1101,1101_block_notax_i_hicp_35_m_europe_b_de_7030,MSCI Europe,Bund,70/30,HICP_EU,No Tax,3.5,76.55,840854,1471970,0,5204912,23455,23.5,25,24.7,11,2000-12-30,2025-10-31,100000,6
1102,1102_block_notax_i_hicp_35_m_europe_b_de_8020,MSCI Europe,Bund,80/20,HICP_EU,No Tax,3.5,73.8,862721,1753355,0,6598348,26201,26.2,24,23.9,10,2000-12-30,2025-10-31,100000,6
1103,1103_block_notax_i_hicp_35_m_europe_b_de_9010,MSCI Europe,Bund,90/10,HICP_EU,No Tax,3.5,70.95,852264,2065412,0,8213141,29047,29.0,24,23.1,9,2000-12-30,2025-10-31,100000,6
1104,1104_block_notax_i_hicp_35_m_europe_b_de_1000,MSCI Europe,-,100,HICP_EU,No Tax,3.5,68.15,807027,2410304,0,10077813,31849,31.8,23,22.4,8,2000-12-30,2025-10-31,100000,6
1105,1105_block_notax_i_hicp_35_m_europe_b_it_6040,MSCI Europe,BTP,60/40,HICP_EU,No Tax,3.5,80.16,998133,1609716,0,5426350,19843,19.8,26,25.0,12,2000-12-30,2025-10-31,100000,6
