date,Price
1986-12-31,73.55999755859375
1987-01-01,73.55999755859375
1987-01-02,73.4000015258789
1987-01-05,73.62000274658203
1987-01-06,74.02999877929688
1987-01-07,74.47000122070312
1987-01-08,74.23999786376953
1987-01-09,73.80000305175781
1987-01-12,74.3499984741211
1987-01-13,73.77999877929688
1987-01-14,73.7699966430664
1987-01-15,74.45999908447266
1987-01-16,74.80000305175781
1987-01-19,74.12999725341797
1987-01-20,74.22000122070312
1987-01-21,74.08999633789062
1987-01-22,74.20999908447266
1987-01-23,74.7699966430664
1987-01-26,74.11000061035156
1987-01-27,74.33999633789062
1987-01-28,72.7699966430664
1987-01-29,73.16999816894531
1987-01-30,73.95999908447266
1987-02-02,73.80999755859375
1987-02-03,73.16999816894531
1987-02-04,73.52999877929688
1987-02-05,73.68000030517578
1987-02-06,74.55000305175781
1987-02-09,74.69999694824219
1987-02-10,73.69999694824219
1987-02-11,74.05000305175781
1987-02-12,73.97000122070312
1987-02-13,74.44999694824219
1987-02-16,74.87000274658203
1987-02-17,74.87999725341797
1987-02-18,75.31999969482422
1987-02-19,75.33000183105469
1987-02-20,75.79000091552734
1987-02-23,75.33000183105469
1987-02-24,75.5199966430664
1987-02-25,75.55000305175781
1987-02-26,75.91000366210938
1987-02-27,76.22000122070312
1987-03-02,76.6500015258789
1987-03-03,76.55000305175781
1987-03-04,77.33000183105469
1987-03-05,77.91000366210938
1987-03-06,77.93000030517578
1987-03-09,78.0199966430664
1987-03-10,77.77999877929688
1987-03-11,77.68000030517578
1987-03-12,78.08999633789062
1987-03-13,78.0
1987-03-16,77.7699966430664
1987-03-17,77.94000244140625
1987-03-18,78.54000091552734
1987-03-19,77.58999633789062
1987-03-20,78.08999633789062
1987-03-23,78.87000274658203
1987-03-24,79.56999969482422
1987-03-25,79.52999877929688
1987-03-26,79.79000091552734
1987-03-27,80.38999938964844
1987-03-30,79.16000366210938
1987-03-31,78.62000274658203
1987-04-01,78.8499984741211
1987-04-02,79.23999786376953
1987-04-03,79.20999908447266
1987-04-06,80.31999969482422
1987-04-07,79.94000244140625
1987-04-08,79.75
1987-04-09,79.51000213623047
1987-04-10,78.54000091552734
1987-04-13,77.80999755859375
1987-04-14,77.8499984741211
1987-04-15,78.44000244140625
1987-04-16,79.3499984741211
1987-04-17,79.37000274658203
1987-04-20,79.29000091552734
1987-04-21,79.0
1987-04-22,79.75
1987-04-23,79.87999725341797
1987-04-24,80.1500015258789
1987-04-27,79.16000366210938
1987-04-28,79.9000015258789
1987-04-29,80.41999816894531
1987-04-30,80.69000244140625
1987-05-01,81.05000305175781
1987-05-04,80.95999908447266
1987-05-05,80.68000030517578
1987-05-06,81.22000122070312
1987-05-07,81.26000213623047
1987-05-08,82.12999725341797
1987-05-11,82.83000183105469
1987-05-12,82.06999969482422
1987-05-13,82.69000244140625
1987-05-14,82.95999908447266
1987-05-15,81.80000305175781
1987-05-18,82.13999938964844
1987-05-19,82.30000305175781
1987-05-20,81.22000122070312
1987-05-21,80.83000183105469
1987-05-22,80.97000122070312
1987-05-25,80.97000122070312
1987-05-26,81.04000091552734
1987-05-27,80.83999633789062
1987-05-28,81.2300033569336
1987-05-29,81.87999725341797
1987-06-01,82.63999938964844
1987-06-02,81.91999816894531
1987-06-03,82.05000305175781
1987-06-04,81.86000061035156
1987-06-05,81.8499984741211
1987-06-08,81.83999633789062
1987-06-09,82.54000091552734
1987-06-10,81.97000122070312
1987-06-11,82.66999816894531
1987-06-12,83.3499984741211
1987-06-15,84.08999633789062
1987-06-16,84.55000305175781
1987-06-17,84.76000213623047
1987-06-18,84.23999786376953
1987-06-19,84.0
1987-06-22,83.94000244140625
1987-06-23,84.4800033569336
1987-06-24,84.4000015258789
1987-06-25,84.44000244140625
1987-06-26,84.95999908447266
1987-06-29,84.80000305175781
1987-06-30,84.66999816894531
1987-07-01,84.19999694824219
1987-07-02,85.1500015258789
1987-07-03,86.33000183105469
1987-07-06,86.76000213623047
1987-07-07,86.91000366210938
1987-07-08,87.1500015258789
1987-07-09,87.2300033569336
1987-07-10,87.48999786376953
1987-07-13,87.61000061035156
1987-07-14,88.0999984741211
1987-07-15,88.62999725341797
1987-07-16,89.29000091552734
1987-07-17,89.5
1987-07-20,89.19000244140625
1987-07-21,88.75
1987-07-22,87.80000305175781
1987-07-23,87.47000122070312
1987-07-24,87.68000030517578
1987-07-27,87.43000030517578
1987-07-28,88.33999633789062
1987-07-29,89.18000030517578
1987-07-30,89.4000015258789
1987-07-31,88.94999694824219
1987-08-03,88.5
1987-08-04,88.08000183105469
1987-08-05,88.08000183105469
1987-08-06,87.4800033569336
1987-08-07,86.86000061035156
1987-08-10,86.91999816894531
1987-08-11,87.12000274658203
1987-08-12,88.08999633789062
1987-08-13,88.0199966430664
1987-08-14,88.22000122070312
1987-08-17,87.5999984741211
1987-08-18,86.62000274658203
1987-08-19,85.81999969482422
1987-08-20,86.12000274658203
1987-08-21,86.69000244140625
1987-08-24,86.54000091552734
1987-08-25,86.72000122070312
1987-08-26,86.76000213623047
1987-08-27,86.87999725341797
1987-08-28,87.11000061035156
1987-08-31,87.2300033569336
1987-09-01,88.0
1987-09-02,87.48999786376953
1987-09-03,87.54000091552734
1987-09-04,87.45999908447266
1987-09-07,87.19000244140625
1987-09-08,86.86000061035156
1987-09-09,86.37999725341797
1987-09-10,86.83000183105469
1987-09-11,87.22000122070312
1987-09-14,87.55999755859375
1987-09-15,87.45999908447266
1987-09-16,87.5199966430664
1987-09-17,88.16000366210938
1987-09-18,88.4000015258789
